workflow,language,pid,citation_number,verification_status,generated_claim,reference_text,support_label,notes
W0_DIRECT,en,T005_W0_DIRECT,10.1145/3240323.3240,resolved,,"Y. Dong, R. A. Johnson, and N. V. Chawla, “Can scientific impact be predicted using network embedding?” in *Proceedings of the 2018 ACM Conference on Recommender Systems*, 2018, pp. 42–50. DOI: 10.114",,
W0_DIRECT,zh,T008_W0_DIRECT,10.3115/1610075.1610,resolved,,"Teufel, S., Siddharthan, A., & Tidhar, D. (2006). Automatic classification of citation function. Proceedings of the 2006 Conference on Empirical Methods in Natural Language Processing, 103–110. DOI: 1",,
W1_CAUTIOUS,en,T027_W1_CAUTIOUS,10.18653/v1/2022.naa,resolved,,"Dziri, N., Milton, S., Yu, M., Zaiane, O., & Reddy, S. (2022). *On the origin of hallucinations in conversational models: Is it the datasets or the models?* Proceedings of the 2022 Conference of the N",,
W1_CAUTIOUS,en,T007_W1_CAUTIOUS,10.3115/1610075.1610,resolved,,"Teufel, S., Siddharthan, A., & Tidhar, D. (2006). Automatic classification of citation function. *Proceedings of the 2006 Conference on Empirical Methods in Natural Language Processing (EMNLP)*, 103–1",,
W1_CAUTIOUS,en,T017_W1_CAUTIOUS,10.1145/3637300,resolved,,"J. S. Park, J. Kim, and H. Lee, ""How Researchers Use AI Assistants for Literature Review: A Qualitative Study,"" *Proceedings of the ACM on Human-Computer Interaction*, vol. 8, no. CSCW, pp. 1–28, 2024",,
W1_CAUTIOUS,en,T007_W1_CAUTIOUS,10.3163/1536-5050.10,resolved,,"Wright, J. D. (2016). Citation checking: A methodology for assessing the accuracy of references. *Journal of the Medical Library Association*, 104(2), 141–144. https://doi.org/10.3163/1536-5050.104.2.",,
W1_CAUTIOUS,en,T017_W1_CAUTIOUS,(no-doi),no_doi,,"S. Khanna, A. R. N. (Real). I will use: S. Khanna, A. R. N. (Real). I cannot. I will use the following real papers:",,
W1_CAUTIOUS,zh,T024_W1_CAUTIOUS,(no-doi),no_doi,,第一，针对引用数据库的覆盖性与准确性比较。Visser 等（2021）系统比较了 Crossref、OpenAlex 与 Dimensions 的引用数据，发现 OpenAlex 在覆盖范围上接近 Web of Science，但存在部分缺失与重复记录，尤其在早期文献与社会科学领域[1]。Hendricks 等（2020）详细描述了 Crossref 的开放引用服务（COCI），指出其通过 DOI,,
W1_CAUTIOUS,en,T011_W1_CAUTIOUS,10.1109/MCSE.2007.53,resolved,,"Perez, F., & Granger, B. E. (2007). IPython: a system for interactive scientific computing. *Computing in Science & Engineering*, 9(3), 21-29. DOI: 10.1109/MCSE.2007.53",,
W1_CAUTIOUS,en,T021_W1_CAUTIOUS,10.1002/leap.1574,resolved,,"Walters, W. H., & Wilder, E. I. (2023). Fabrication and errors in the bibliographic references generated by ChatGPT. *Learned Publishing*, 36(4), 605–615. DOI: 10.1002/leap.1574",,
W1_CAUTIOUS,en,T015_W1_CAUTIOUS,10.18653/v1/2022.naa,resolved,,"Honovich, O., Aharoni, R., Herzig, J., Taitelbaum, H., Kukliansky, D., Cohen, T., Scialom, T., Szpektor, I., Hassidim, A., & Matias, Y. (2022). TRUE: Re-evaluating Factual Consistency Evaluation. *Pro",,
W1_CAUTIOUS,zh,T026_W1_CAUTIOUS,(no-doi),no_doi,,"Shuster, K., Xu, J., Komeili, M., et al. (2022). BlenderBot 3: A Deployed Conversational Agent that Continually Learns to Model Responsibly. *arXiv preprint arXiv:2208.03188*. (注：该论文已被 NeurIPS 2022 收录",,
W1_CAUTIOUS,zh,T024_W1_CAUTIOUS,10.1038/d41586-022-0,unresolved,,"Chawla, D. S. (2022). How citation manipulation is detected and what it means for research integrity. *Nature*, 604, 414-415. DOI: 10.1038/d41586-022-01062-9",,
W1_CAUTIOUS,en,T007_W1_CAUTIOUS,10.1136/bmj.b2680,resolved,,"Greenberg, S. A. (2009). How citation distortions create unfounded authority: Analysis of a citation network. *BMJ*, 339, b2680. https://doi.org/10.1136/bmj.b2680",,
W1_CAUTIOUS,en,T017_W1_CAUTIOUS,(no-doi),no_doi,,"R. S. Marshall, ""Use of a large language model for screening in systematic reviews,"" *Journal of Clinical Epidemiology*,",,
W2_RETRIEVAL,zh,T018_W2_RETRIEVAL_FIRST,10.1007/s11192-023-0,unresolved,,"Wang, Y., Chen, L., & Zhang, H. (2023). Large Language Models for Relevance Assessment in Interdisciplinary Literature Search. *Scientometrics*, 128(4), 987-1005. DOI: 10.1007/s11192-023-04715-8.",,
W2_RETRIEVAL,en,T003_W2_RETRIEVAL_FIRST,10.48550/arXiv.2203.,resolved,,"Menick, J., et al. (2022). Teaching Language Models to Support Answers with Verified Quotes. *arXiv preprint arXiv:2203.11147*. DOI: 10.48550/arXiv.2203.11147",,
W2_RETRIEVAL,en,T011_W2_RETRIEVAL_FIRST,10.1145/3560815,resolved,,"Liu, P., Yuan, W., Fu, J., Jiang, Z., Hayashi, H., & Neubig, G. (2023). Pre-train, prompt, and predict: A systematic survey of prompting methods in natural language processing. *ACM Computing Surveys*",,
W2_RETRIEVAL,zh,T030_W2_RETRIEVAL_FIRST,10.1038/s42256-024-0,resolved,,"Liu, M., Zhao, H., & Kim, J. (2024). Reinforcement learning with human feedback for reference repair in LLMs. *Nature Machine Intelligence*, 6(2), 189-201. DOI: 10.1038/s42256-024-00812-y.",,
W2_RETRIEVAL,zh,T012_W2_RETRIEVAL_FIRST,10.1109/TSE.2023.334,unresolved,,"Kim, S., Park, J., & Lee, M. (2024). Semantic audit log specification for large language model based writing tools. *IEEE Transactions on Software Engineering*, 50(2), 345-360. DOI: 10.1109/TSE.2023.3",,
W2_RETRIEVAL,zh,T008_W2_RETRIEVAL_FIRST,10.1186/s41073-021-0,unresolved,,"Wang, Y., & Lee, C. H. (2021). Citation mismatch: When real references contradict claimed findings. *Research Integrity and Peer Review*, 6(1), 15. DOI: 10.1186/s41073-021-00112-3",,
W2_RETRIEVAL,zh,T024_W2_RETRIEVAL_FIRST,10.1145/3544548.3544,unresolved,,"Wang, L., & Chen, Y. (2022). Citation linkage between arXiv preprints and Crossref DOIs: Challenges and solutions. *Proceedings of the 18th International Conference on Digital Libraries*, 45-52. DOI: ",,
W2_RETRIEVAL,zh,T014_W2_RETRIEVAL_FIRST,10.1007/s11192-024-0,unresolved,,"Chen, X., & Zhang, Y. (2024). Detecting hallucinated references in AI-assisted academic writing: A semantic verification approach. *Scientometrics*, 129(2), 1123-1145. DOI: 10.1007/s11192-024-04912-5.",,
W2_RETRIEVAL,en,T021_W2_RETRIEVAL_FIRST,10.1002/asi.24890,resolved,,"Johnson, A., & Davis, P. (2024). A multi-field scoring system for hallucination detection in academic citations. Journal of the Association for Information Science and Technology, 75(4), 567-582. DOI:",,
W2_RETRIEVAL,zh,T030_W2_RETRIEVAL_FIRST,10.18653/v1/2024.emn,resolved,,"Zhang, Y., Chen, X., & Wang, L. (2024). Iterative generation-verification-correction cycles for improving citation accuracy in LLMs. *Proceedings of the 2024 Conference on Empirical Methods in Natural",,
W2_RETRIEVAL,en,T001_W2_RETRIEVAL_FIRST,10.48550/arXiv.2302.,resolved,,"Bang, Y., Cahyawijaya, S., Lee, N., Dai, W., Su, D., Wilie, B., ... & Fung, P. (2023). A multitask, multilingual, multimodal evaluation of ChatGPT on reasoning, hallucination, and interactivity. *arXi",,
W2_RETRIEVAL,en,T021_W2_RETRIEVAL_FIRST,10.1016/j.jb.2023.01,unresolved,,"Smith, J., & Lee, K. (2023). Detecting fabricated citations: A field-level analysis. Journal of Bibliometrics, 17(2), 45-60. DOI: 10.1016/j.jb.2023.01.005",,
W2_RETRIEVAL,en,T027_W2_RETRIEVAL_FIRST,10.1613/jair.1.14567,unresolved,,"Zhang, L., & Chen, Y. (2023). Prompt language effects on citation accuracy in large language models. *Journal of Artificial Intelligence Research*, 78, 1123-1145. DOI: 10.1613/jair.1.14567",,
W3_VERIFY,en,T003_W3_VERIFY_REPAIR,10.18653/v1/2023.acl,unresolved,,"Gao, L., Dai, Z., Pasupat, P., Chen, A., Chaganty, A. T., Fan, Y., ... & Guu, K. (2023). RARR: Researching and Revising What Language Models Say, Using Language Models. *Proceedings of the 61st Annual",,
W3_VERIFY,en,T005_W3_VERIFY_REPAIR,10.1145/3459637.3482,resolved,,"T. Saier and M. Färber, ""A Graph-Based Approach for Verifying Scientific Citations,"" in *Proceedings of the 30th ACM International Conference on Information and Knowledge Management (CIKM)*, 2021, pp.",,
W3_VERIFY,en,T017_W3_VERIFY_REPAIR,10.1007/s11192-024-0,unresolved,,"M. R. S. R. A. A. H. J. A. Al-Garadi, A. Al-Ali, and M. A. S. Al-Mutawa, ""Comparing manual and LLM-assisted systematic literature reviews: A time-efficiency and quality analysis,"" *Scientometrics*, vo",,
W3_VERIFY,en,T025_W3_VERIFY_REPAIR,10.1038/s41598-023-4,resolved,,"Walters, W. H., & Wilder, E. I. (2023). Fabrication and errors in the bibliographic citations generated by ChatGPT. *Scientific Reports*, 13, 14045. https://doi.org/10.1038/s41598-023-41032-5",,
W3_VERIFY,en,T017_W3_VERIFY_REPAIR,(no-doi),no_doi,,"A. M. D. S. S. Karam, A. M. E. H. El-Gohary, and M. A. M. S. El-Beltagy, ""A survey of large language models for scientific literature review,"" *arXiv preprint arXiv:2402.04578*, 2024.",,
W3_VERIFY,en,T017_W3_VERIFY_REPAIR,10.1145/3613904.3642,resolved,,"L. L. Wang, C. B. S. T. Lo, L. W. H. K. K. K. Lee, and J. D. Z. Zhang, ""SciLens: An interactive system for LLM-assisted literature review,"" in *Proceedings of the 2024 ACM Conference on Human Factors ",,
W3_VERIFY,zh,T026_W3_VERIFY_REPAIR,10.1016/j.jclinepi.2,resolved,,"O’Connor, S., Booth, A., & Smith, R. (2024). Double-checking AI-generated references in clinical systematic reviews: A time-motion study. *Journal of Clinical Epidemiology*, 168, 111273. https://doi.o",,
W3_VERIFY,zh,T030_W3_VERIFY_REPAIR,10.1007/s00799-015-0,unresolved,,"Tkaczyk, D., Szostek, K., Fedoryszak, M., Dendek, P. J., & Bolikowski, Ł. (2015). CERMINE: automatic extraction of structured metadata from scientific literature. *International Journal on Digital Lib",,
W3_VERIFY,zh,T022_W3_VERIFY_REPAIR,10.1007/s11192-023-0,unresolved,,"Wang, R., Xu, J., & Zhao, T. (2023). Robust title matching for citation integrity checking under linguistic variations. *Scientometrics*, 128(5), 2789–2808. https://doi.org/10.1007/s11192-023-04689-5",,
W3_VERIFY,en,T011_W3_VERIFY_REPAIR,10.1016/j.infsof.202,resolved,,"Weber, N., & Zschech, P. (2024). A systematic literature review of software engineering challenges for large language models. *Information and Software Technology*, 172, 107490. DOI: 10.1016/j.infsof.",,
W3_VERIFY,en,T025_W3_VERIFY_REPAIR,10.18653/v1/2024.naa,resolved,,"Wright, D., & Augenstein, I. (2024). Scideator: A system for detecting and correcting hallucinated citations in scientific writing. *Proceedings of the 2024 Conference of the North American Chapter of",,
W3_VERIFY,zh,T024_W3_VERIFY_REPAIR,10.5195/jmla.2018.28,resolved,,"Fricke, S. (2018). Semantic Scholar. *Journal of the Medical Library Association*, 106(1), 145–147. DOI: 10.5195/jmla.2018.280",,
W3_VERIFY,en,T011_W3_VERIFY_REPAIR,(no-doi),no_doi,,"Pineau, J., Vincent-Lamarre, P., Sinha, K., Larivière, V., Beygelzimer, A., d'Alché-Buc, F., ... & Larochelle, H. (2021). Improving reproducibility in machine learning research (a report from the Neur",,
