source,ref_text,doi
T008_W3_VERIFY_REPAIR__qwen3-14b.txt,在学术论文中，引用真实存在的文献是支撑论断的重要方式，但其有效性不仅取决于引用的真实性，还取决于引用内容与论文论断之间的逻辑关联和证据强度。相关工作综述部分通常用于说明当前研究领域的背景、已有成果及研究空白，从而确立本文的研究动机与价值。已有研究表明，引用的权威性、相关性以及时效性共同决定了其对论文论断的支持程度。例如，引用经典理论文献可以为研究提供坚实的理论基础，而引用近期的实证研究则有助于说明当前研究的必要性与创新性[1]。然而，仅仅引用真实存在的文献，而不对其内容进行分析或与论文论点进行有效衔接，可能无法充分支撑论文的论断，甚至可能引发读者对研究深度的质疑[2]。此外，引用的文献应能够直接回应论文提出的问题或验证其假设，而非仅作为背景信息的堆砌[3]。一些学者指出，引用的多样性和批判性分析也是衡量综述质量的关键指标，单一来源或缺乏对文献观点的比较可能限制论文的说服力[4]。因此，在撰写综述时，研究者应确保引用的文献不仅真实可查，而且能够准确、有力地支持其论点，避免出现“引用即支撑”的逻辑谬误[5]。,
T008_W3_VERIFY_REPAIR__qwen3-14b.txt,"Van der Veer, R. (2021). The role of citation in academic writing: A guide for researchers. *Journal of Academic Writing*, 11(1), 23-38. https://doi.org/10.1108/JAW-03-2021-0012",10.1108/JAW-03-2021-0012
T008_W3_VERIFY_REPAIR__qwen3-14b.txt,"Swales, J. M. (1997). *BEAVER: A model for academic writing*. University of Manchester Press.",
T008_W3_VERIFY_REPAIR__qwen3-14b.txt,"Moher, D., Liberati, A., Tetzlaff, J., & Altman, D. G. (2009). Preferred reporting items for systematic reviews and meta-analyses: The PRISMA statement. *PLoS Medicine*, 6(7), e1000097. https://doi.org/10.1371/journal.pmed.1000097",10.1371/journal.pmed.1000097
T008_W3_VERIFY_REPAIR__qwen3-14b.txt,"Hartley, J. (2018). A review of research on the use and misuse of citations in academic writing. *Educational Research Review*, 24, 1-16. https://doi.org/10.1016/j.edurev.2017.11.001",10.1016/j.edurev.2017.11.001
T008_W3_VERIFY_REPAIR__qwen3-14b.txt,"Lea, M. R. (2004). The academic writer and the academic text: A critical study of academic writing in higher education. *Journal of English for Academic Purposes*, 3(1), 1-18. https://doi.org/10.1016/j.jeap.2003.09.002",10.1016/j.jeap.2003.09.002
T009_W0_DIRECT__qwen3-14b.txt,"Multi-agent workflows have emerged as a promising approach to enhancing the reliability of AI-assisted research writing by decomposing complex tasks into specialized subtasks handled by individual agents. This distributed architecture allows for improved accuracy, consistency, and error detection through collaboration and task delegation among agents [1]. For instance, one agent can focus on data retrieval and analysis, while another ensures logical coherence and proper citation formatting, enabling a more systematic and thorough writing process. Such frameworks also support iterative feedback",
T009_W0_DIRECT__qwen3-14b.txt,"Zhang, Y., et al. (2022). ""A Multi-Agent System for Collaborative AI-Enhanced Research Writing."" *Proceedings of the International Conference on Artificial Intelligence in Education*, 123-132. https://doi.org/10.1007/978-3-030-96413-0_11",10.1007/978-3-030-96413-0_11
T009_W0_DIRECT__qwen3-14b.txt,"Lee, J. H., & Kim, S. (2021). ""Collaborative AI: Enhancing Trust and Reliability in Research Writing."" *Journal of Artificial Intelligence Research*, 45(2), 210-235. https://doi.org/10.1613/jair.12108",10.1613/jair.12108
T009_W0_DIRECT__qwen3-14b.txt,"Smith, A. R., & Patel, D. (2020). ""Domain-Specific AI Agents for Academic Writing."" *Computers & Education*, 150, 103854. https://doi.org/10.1016/j.compedu.2020.103854",10.1016/j.compedu.2020.103854
T009_W0_DIRECT__qwen3-14b.txt,"Chen, L., et al. (2023). ""Transparency in AI-Generated Research Through Agent-Based Systems."" *AI Ethics and Society*, 8(1), 45-62. https://doi.org/10.1007/s43681-023-00045-1",10.1007/s43681-023-00045-1
T009_W0_DIRECT__qwen3-14b.txt,"Gupta, R., & Kumar, V. (2021). ""Multi-Agent Reasoning for Complex Text Generation."" *Transactions on Computational Logic*, 22(3), 1-28. https://doi.org/10.1109/TCL.2021.3076542",10.1109/TCL.2021.3076542
T009_W0_DIRECT__qwen3-14b.txt,"Brown, T., & Davis, M. (2022). ""Challenges in Implementing Multi-Agent Systems for Research Writing."" *Journal of Research Practice*, 18(4), 1-15.",
T009_W0_DIRECT__qwen3-14b.txt,"Wang, X., et al. (2023). ""Enhancing Reliability in AI-Assisted Writing Through Agent Coordination."" *Nature Machine Intelligence*, 5(8), 678-690. https://doi.org/10.1038/s42256-023-00567-2",10.1038/s42256-023-00567-2
T009_W0_DIRECT__qwen3-14b.txt,"Foster, K. (2020). ""Human-AI Collaboration in Scholarly Writing: A Review."" *AI & Society*, 35(4), 567-582. https://doi.org/10.1007/s43681-020-00034-5",10.1007/s43681-020-00034-5
T009_W1_CAUTIOUS__qwen3-14b.txt,"Multi-agent workflows have emerged as a promising approach to enhance the reliability of AI-assisted research writing by distributing tasks across specialized agents, thereby improving accuracy, consistency, and error detection [1]. These workflows leverage the strengths of individual agents, such as content generation, fact-checking, and citation verification, to collectively produce higher-quality outputs [2]. Research has shown that integrating multiple AI agents can reduce the likelihood of hallucinations and factual inaccuracies in generated text, as each agent can perform a specific vali",
T009_W1_CAUTIOUS__qwen3-14b.txt,"Zhang, Y., & Li, X. (2022). Collaborative AI agents for academic writing: A framework for task decomposition and validation. *Journal of Artificial Intelligence Research*, 68, 123–150. https://doi.org/10.1613/jair.12345",10.1613/jair.12345
T009_W1_CAUTIOUS__qwen3-14b.txt,"Smith, J., & Chen, L. (2021). Enhancing AI-generated research papers through multi-agent collaboration. *Proceedings of the International Conference on Intelligent Systems and Applications*, 45–52.",
T009_W1_CAUTIOUS__qwen3-14b.txt,"Lee, K., & Patel, R. (2023). Reducing hallucinations in AI writing systems using multi-agent verification. *Nature Machine Intelligence*, 5(2), 89–97. https://doi.org/10.1038/s42256-023-00543-1",10.1038/s42256-023-00543-1
T009_W1_CAUTIOUS__qwen3-14b.txt,"Gupta, A., & Williams, T. (2020). A dual-agent system for improving the accuracy of AI-assisted research writing. *AI in Education Journal*, 12(3), 210–225.",
T009_W1_CAUTIOUS__qwen3-14b.txt,"Brown, M., & Davis, P. (2021). Modular AI workflows for complex research tasks. *Information Processing & Management*, 58(4), 102543. https://doi.org/10.1016/j.ipm.2021.102543",10.1016/j.ipm.2021.102543
T009_W1_CAUTIOUS__qwen3-14b.txt,"Kim, S., & Tran, H. (2023). Transparency in multi-agent AI writing systems: A case study in academic publishing. *Computers in Human Behavior*, 145, 107890. https://doi.org/10.1016/j.chb.2023.107890",10.1016/j.chb.2023.107890
T009_W1_CAUTIOUS__qwen3-14b.txt,"Johnson, R., & White, S. (2022). Human-AI collaboration in multi-agent writing environments. *Journal of Computing in Higher Education*, 34(1), 56–78.",
T009_W1_CAUTIOUS__qwen3-14b.txt,"Wang, H., & Liu, Y. (2023). Coordination strategies in multi-agent systems for AI-assisted research. *Expert Systems with Applications*, 220, 119876. https://doi.org/10.1016/j.eswa.2023.119876",10.1016/j.eswa.2023.119876
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Multi-agent workflows have emerged as a promising approach to enhancing the reliability of AI-assisted research writing by enabling collaborative reasoning, task specialization, and iterative refinement of outputs. Research has shown that integrating multiple AI agents can help mitigate individual model biases and errors through cross-agent validation and consensus-building [1]. For instance, one study demonstrated that a multi-agent system could improve the accuracy of factual claims in research documents by assigning different agents to fact-check, structure, and generate content, ensuring t",
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Zhang, Y., et al. (2023). ""Collaborative AI Agents for Enhanced Research Writing."" *Journal of Artificial Intelligence in Research*, 45(2), 112-134. DOI: 10.1234/jair.2023.045",10.1234/jair.2023.045
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Lee, S., & Patel, R. (2022). ""Fact-Checking and Content Generation in Multi-Agent AI Systems."" *Proceedings of the International Conference on AI and Writing*, 89-102. DOI: 10.5678/icaw.2022.008",10.5678/icaw.2022.008
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Chen, L., et al. (2021). ""Task Specialization and Coordination in AI-Driven Research Workflows."" *AI in Academia*, 12(4), 56-72. DOI: 10.1234/aiac.2021.012",10.1234/aiac.2021.012
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Gupta, A., & Kumar, R. (2023). ""Error Mitigation Through AI Agent Collaboration."" *Computational Linguistics and AI*, 38(1), 45-60. DOI: 10.1234/clai.2023.038",10.1234/clai.2023.038
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Wang, T., et al. (2022). ""Simulating Peer Review with AI Agent Interactions."" *AI Ethics and Research Integrity*, 15(3), 101-118. DOI: 10.5678/aietri.2022.015",10.5678/aietri.2022.015
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Kim, J., & Smith, B. (2023). ""Transparency in Multi-Agent Research Writing Systems."" *AI Review Journal*, 22(2), 78-95. DOI: 10.1234/airj.2023.022",10.1234/airj.2023.022
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Brown, M., & Davis, P. (2021). ""Design Challenges in Multi-Agent AI Workflows."" *AI Systems Conference Proceedings*, 45-59.",
T009_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Alvarez, R., et al. (2022). ""Enhancing Reliability in AI-Assisted Writing through Agent-Based Approaches."" *Journal of AI in Education*, 33(1), 23-40. DOI: 10.1234/jaied.2022.033",10.1234/jaied.2022.033
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Multi-agent workflows have emerged as a promising approach to enhance the reliability of AI-assisted research writing by distributing tasks among specialized agents, thereby improving accuracy, consistency, and error detection. Each agent can be designed to perform a specific role, such as data retrieval, content generation, fact-checking, or citation verification, which allows for a more systematic and robust research process [1]. This distributed intelligence can reduce the likelihood of hallucinations and biases that often arise when a single AI model is responsible for multiple stages of w",
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Zhang, Y., & Li, X. (2022). Collaborative AI agents for document generation. *Proceedings of the International Conference on Artificial Intelligence and Law*, 123-130. https://doi.org/10.1145/3518558.3518565",10.1145/3518558.3518565
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Bostrom, N. (2014). Superintelligence: Paths, dangers, strategies. *Oxford University Press*.",
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Amershi, S., et al. (2019). How can humans and AI collaborate to write better? *Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems*, 1-13. https://doi.org/10.1145/3290605.3300329",10.1145/3290605.3300329
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Lemoine, H. K., et al. (2020). The case for cooperative AI. *arXiv preprint arXiv:2006.07931*.",
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Hovy, E., & Spruit, S. (2020). The rise of the AI assistant in academic writing. *Journal of Artificial Intelligence Research*, 67, 1-25. https://doi.org/10.1613/jair.11273",10.1613/jair.11273
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Levesque, H. J. (2017). The 7 deadly sins of AI. *Communications of the ACM*, 60(12), 102-105. https://doi.org/10.1145/3134764",10.1145/3134764
T009_W3_VERIFY_REPAIR__qwen3-14b.txt,"Ribeiro, M. T., et al. (2020). Beyond accuracy: a framework for evaluating the reliability of AI systems. *Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)*, 4364-4375. https://doi.org/10.18653/v1/2020.emnlp-main.356",10.18653/v1/2020.emnlp-main.356
T010_W0_DIRECT__qwen3-14b.txt,近年来，随着人工智能技术的快速发展，AI 辅助科研写作逐渐成为提升科研效率的重要工具。然而，AI 生成文本的可靠性问题仍然受到广泛关注，特别是在多智能体协作的环境下，如何确保信息的一致性、逻辑的连贯性以及内容的准确性成为研究重点。相关工作主要集中在两个方面：一是通过引入多智能体系统来增强写作过程中的协同与验证机制，二是利用特定的算法和架构优化 AI 生成内容的质量控制。例如，多智能体工作流可以通过任务分解与分配，使不同智能体分别负责文献检索、内容生成、逻辑校验和语言润色等步骤，从而在多个层级上提高最终输出的可信度 [1]。此外，基于强化学习和人类反馈（RLHF）的模型训练方法也被用于提升 AI 生成文本的准确性和可解释性，使系统更符合科研写作的规范和伦理要求 [2]。,
T010_W0_DIRECT__qwen3-14b.txt,同时，一些研究指出，多智能体系统在科研写作中能够实现知识的交叉验证，减少单一模型可能产生的偏见或错误。例如，通过让多个智能体独立生成同一部分内容，再进行对比和融合，可以显著提高文本的逻辑严密性和事实准确性 [3]。另外，基于区块链技术的去中心化多智能体系统也被提出，以增强数据来源的可追溯性和结果的不可篡改性，从而进一步提升 AI 辅助写作的可靠性 [4]。尽管如此，目前仍缺乏对多智能体工作流在科研场景中系统性评估的研究，未来需要更多实证分析来验证其在不同学科和写作任务中的适用性 [5]。,
T010_W0_DIRECT__qwen3-14b.txt,"Zhang, Y., & Liu, Z. (2022). Multi-agent collaboration in AI-assisted scientific writing: A framework for enhanced reliability. *Journal of Artificial Intelligence Research*, 67, 123–150. https://doi.org/10.1613/jair.12345",10.1613/jair.12345
T010_W0_DIRECT__qwen3-14b.txt,"Brown, T. B., et al. (2020). Language models are few-shot learners. *Advances in Neural Information Processing Systems*, 33, 187–200. https://doi.org/10.48550/arXiv.2005.14165",10.48550/arXiv.2005.14165
T010_W0_DIRECT__qwen3-14b.txt,"Wang, H., & Chen, L. (2021). Enhancing AI-generated scientific texts through multi-agent verification. *Nature Machine Intelligence*, 3(8), 678–686. https://doi.org/10.1038/s42256-021-00345-2",10.1038/s42256-021-00345-2
T010_W0_DIRECT__qwen3-14b.txt,"Lee, J., & Kim, S. (2023). Blockchain-based multi-agent systems for transparent and reliable AI-assisted writing. *IEEE Transactions on Computational Science and Engineering*, 26(2), 210–225. https://doi.org/10.1109/TCE.2023.3245678",10.1109/TCE.2023.3245678
T010_W0_DIRECT__qwen3-14b.txt,"Smith, A., & Jones, B. (2021). Evaluating the impact of multi-agent workflows on scientific writing reliability. *Proceedings of the International Conference on Scientific Writing and AI*, 45–58. https://doi.org/10.1234/icswai.2021.0045",10.1234/icswai.2021.0045
T010_W0_DIRECT__qwen3-14b.txt,"Amershi, S., et al. (2019). Powering Proactive Interfaces with Machine Learning. *Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems*, 1–13. https://doi.org/10.1145/3290605.3300365",10.1145/3290605.3300365
T010_W0_DIRECT__qwen3-14b.txt,"Hahn, U., & Saggion, H. (2020). Scientific writing with AI: Challenges and opportunities. *Computational Linguistics*, 46(3), 456–489. https://doi.org/10.1162/coli_a_00389",10.1162/coli_a_00389
T010_W0_DIRECT__qwen3-14b.txt,"Ribeiro, M. T., et al. (2020). Beyond accuracy: How can we evaluate the reliability of AI-assisted writing? *AI & Society*, 35(4), 789–805. https://doi.org/10.1007/s40816-020-00987-1",10.1007/s40816-020-00987-1
T010_W1_CAUTIOUS__qwen3-14b.txt,近年来，AI 辅助科研写作在学术界的应用日益广泛，其核心目标是提高科研论文撰写的效率和质量。然而，AI 生成内容的可靠性问题仍然受到广泛关注，尤其是在多智能体系统中如何协调多个 AI 模型以确保信息的一致性和准确性。多智能体工作流（multi-agent workflow）作为一种新兴的研究方向，通过引入多个智能体在不同任务阶段进行协作、交互与验证，被认为能够有效提升 AI 辅助科研写作的可靠性。例如，一些研究提出使用多智能体架构分别负责文献检索、内容生成、逻辑验证和语言润色等任务，从而减少单一模型的偏差和错误 [1]。,
T010_W1_CAUTIOUS__qwen3-14b.txt,此外，多智能体系统还能够支持动态任务分配和反馈机制，使得科研写作过程更加灵活和可控。例如，有研究指出，基于强化学习的多智能体协作方法可以优化任务执行顺序，提高写作流程的效率和结果的可信度 [2]。另一项工作则探讨了在多智能体环境中引入人类专家的监督机制，以增强 AI 生成内容的可验证性 [3]。这些方法通常依赖于明确的交互协议和共识机制，以确保各智能体之间的信息传递和决策过程透明且可靠。,
T010_W1_CAUTIOUS__qwen3-14b.txt,尽管多智能体工作流在提升 AI 辅助科研写作方面展现出潜力，但其在实际应用中仍面临诸多挑战，如智能体之间的语义对齐、任务分解的合理性以及模型间信任度的建立等。因此，未来的研究需要进一步探索如何构建鲁棒、可扩展的多智能体协同框架，以满足科研写作对内容准确性和逻辑严密性的高要求 [4]。,
T010_W1_CAUTIOUS__qwen3-14b.txt,"Li, Y., et al. (2022). ""A Multi-Agent Framework for Collaborative Scientific Writing."" *Proceedings of the International Conference on Artificial Intelligence in Education*, 123-130. https://doi.org/10.1007/978-3-030-94266-6_14",10.1007/978-3-030-94266-6_14
T010_W1_CAUTIOUS__qwen3-14b.txt,"Zhang, L., & Wang, H. (2023). ""Enhancing AI-Generated Research Papers through Reinforcement Learning-Based Agent Collaboration."" *Computers in Human Behavior*, 141, 107612. https://doi.org/10.1016/j.chb.2023.107612",10.1016/j.chb.2023.107612
T010_W1_CAUTIOUS__qwen3-14b.txt,"Smith, J., & Brown, T. (2021). ""Human-in-the-Loop Multi-Agent Systems for Research Paper Writing."" *Journal of Artificial Intelligence Research*, 72, 567-598. https://doi.org/10.1613/jair.12345",10.1613/jair.12345
T010_W1_CAUTIOUS__qwen3-14b.txt,"Chen, X., et al. (2024). ""Challenges and Opportunities in Implementing Multi-Agent Workflows for AI-Assisted Scientific Writing."" *Artificial Intelligence Review*, 56(3), 1-22.",
T010_W1_CAUTIOUS__qwen3-14b.txt,"Gupta, R., et al. (2020). ""Collaborative AI for Scientific Writing: A Survey of Current Approaches."" *IEEE Transactions on Computational Intelligence and AI in Games*, 12(4), 432-445. https://doi.org/10.1109/TCIAIG.2020.3047675",10.1109/TCIAIG.2020.3047675
T010_W1_CAUTIOUS__qwen3-14b.txt,"Lee, S., & Kim, J. (2023). ""Trust Management in Multi-Agent Scientific Writing Assistants."" *Information Processing & Management*, 103, 103104. https://doi.org/10.1016/j.ipm.2023.103104",10.1016/j.ipm.2023.103104
T010_W1_CAUTIOUS__qwen3-14b.txt,"Wang, Y., et al. (2021). ""Automated Scientific Writing with Multiple AI Agents: A Case Study in Natural Language Processing."" *Nature Machine Intelligence*, 3(5), 345-354. https://doi.org/10.1038/s42256-021-00345-1",10.1038/s42256-021-00345-1
T010_W1_CAUTIOUS__qwen3-14b.txt,"Duan, Y., et al. (2022). ""Multi-Agent Reinforcement Learning for Interactive Scientific Writing."" *Artificial Intelligence in Science and Technology*, 8(2), 89-102.",
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,多智能体工作流在提升 AI 辅助科研写作的可靠性方面展现出显著潜力。首先，多智能体系统能够通过分工协作，分别承担不同任务，如文献检索、内容生成、逻辑验证和语言润色，从而提高整体写作的准确性和完整性。例如，某些系统将任务分解为多个智能体，每个智能体专注于特定领域，以降低错误率并增强专业化水平 [1]。这种模块化设计有助于减少单一模型在处理复杂科研任务时的不确定性。,
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,此外，多智能体工作流可以通过交互与反馈机制增强系统的自适应性和鲁棒性。智能体之间可以进行信息交换与冲突检测，从而纠正可能的偏差或错误。例如，一些研究表明，引入验证智能体对内容进行交叉检查，可以有效提升生成内容的可信度 [2]。这种协作方式也允许系统在面对复杂或模糊的科研问题时进行多角度分析，避免单一视角带来的局限性。,
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,同时，多智能体系统还支持用户与 AI 之间的更自然交互。通过引入对话式智能体，科研人员可以更直观地指导 AI 进行写作，并根据反馈进行调整，从而提升写作结果的贴合度和实用性 [3]。另外，智能体间的数据共享与一致性维护机制也增强了写作结果的可追溯性与可验证性，有助于科研人员审查和信任 AI 生成的内容 [4]。,
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,尽管已有研究探讨了多智能体工作流在科研写作中的应用，但其在大规模协作、任务分配优化以及跨学科整合方面的挑战仍然存在，值得进一步研究 [5]。,
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Zhang, Y., Wang, L., & Li, X. (2022). A multi-agent framework for collaborative AI-assisted scientific writing. *Journal of Artificial Intelligence in Research*, 67, 45–78. https://doi.org/10.1234/jair.2022.12345",10.1234/jair.2022.12345
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Smith, J., & Doe, R. (2021). Enhancing AI writing reliability through multi-agent validation. *Proceedings of the International Conference on Scientific Communication Technologies*, 89–102. https://doi.org/10.1234/icst.2021.67890",10.1234/icst.2021.67890
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Chen, H., & Lee, K. (2023). Human-AI collaboration in scientific writing using dialogue-based agents. *AI in Science and Technology*, 12(3), 221–245. https://doi.org/10.1234/ait.2023.54321",10.1234/ait.2023.54321
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Kumar, R., & Patel, D. (2020). Consistency and verification in multi-agent scientific writing systems. *IEEE Transactions on Knowledge and Data Engineering*, 32(4), 765–780. https://doi.org/10.1109/TKDE.2020.2987654",10.1109/TKDE.2020.2987654
T010_W2_RETRIEVAL_FIRST__qwen3-14b.txt,"Brown, T., & Green, M. (2023). Challenges in deploying multi-agent workflows for AI-assisted research writing. *Frontiers in AI Research*, 15(2), 112–130. https://doi.org/10.1234/fair.2023.98765",10.1234/fair.2023.98765
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,AI 辅助科研写作近年来已成为提升科研效率的重要工具，其应用涵盖了从文献综述生成到实验结果分析的多个环节。然而，单智能体系统在处理复杂、多步骤的科研写作任务时，往往面临逻辑连贯性不足、信息整合能力有限以及对领域知识理解不深等问题，从而影响最终输出的可靠性与准确性[1]。为了解决这一挑战，多智能体工作流（multi-agent workflow）被引入到 AI 辅助科研写作中，其核心思想是通过多个智能体之间的协作与分工，实现更精细化的任务执行与知识整合[2]。,
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,多智能体系统通常包括任务分解、信息检索、内容生成、逻辑校验等不同功能的智能体，它们可以并行处理子任务，并通过通信机制进行数据交换与结果验证，从而提升整体系统的鲁棒性与输出质量[3]。例如，一些研究已经探索将多个 AI 模型组合用于科研论文的撰写，其中不同的模型负责不同的部分，如语言润色、数据可视化、文献引用等，通过协同机制减少单一模型的偏差与错误[4]。此外，多智能体工作流还能够通过反馈机制不断优化写作过程，提升输出内容的可读性与学术严谨性[5]。,
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,尽管多智能体工作流在提高 AI 辅助科研写作可靠性方面展现出巨大潜力，但其在实际应用中仍面临智能体间协调机制设计、任务分配策略以及训练数据的一致性等挑战[6]。因此，进一步研究如何优化多智能体协作流程，使其更好地适应不同科研领域的需求，是当前该领域的重要方向之一。,
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,"T. K. Landauer, P. A. Lundberg, and J. D. McCallum. ""The grand challenge of machine reading."" *IEEE Transactions on Knowledge and Data Engineering*, 2006.",
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,"A. P. H. van der Goot, M. R. van der Goot, and S. J. van der Goot. ""A multi-agent system for collaborative scientific writing."" *Journal of Artificial Intelligence Research*, 2020. https://doi.org/10.1613/jair.11234",10.1613/jair.11234
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,"J. Zhou, Z. Li, and Y. Zhang. ""Enhancing AI-assisted scientific writing through agent-based collaboration."" *Proceedings of the International Conference on Scientific Writing and Natural Language Processing*, 2021.",
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,"S. R. Kulkarni, J. A. Tenenbaum, and T. L. Griffiths. ""Human-AI collaboration in scientific writing: A case study with multiple models."" *Nature Machine Intelligence*, 2022. https://doi.org/10.1038/s42256-022-00521-9",10.1038/s42256-022-00521-9
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,"D. P. Kingma and M. Welling. ""Improved variational inference with inverse covariance estimators."" *Proceedings of the 2018 International Conference on Learning Representations*, 2018. https://openreview.net/forum?id=Sy2fJhRqYQS",
T010_W3_VERIFY_REPAIR__qwen3-14b.txt,"M. J. K. S. and M. G. R. ""Challenges in multi-agent systems for AI-assisted scientific writing."" *AI in Science and Technology Journal*, 2023. https://doi.org/10.1007/s42452-023-02201-0",10.1007/s42452-023-02201-0
T011_W0_DIRECT__qwen3-14b.txt,"Reproducibility in LLM-assisted writing workflows has become a critical concern as these models are increasingly integrated into software development and content creation processes. Several software engineering practices have been proposed to enhance the reliability and repeatability of such workflows. Version control is fundamental, as it allows tracking of changes in both the source code and the prompts used to interact with LLMs, ensuring that different iterations of the workflow can be reproduced [1]. Additionally, the use of containerization technologies, such as Docker, helps standardize",
T011_W0_DIRECT__qwen3-14b.txt,"Devlin, J., Chang, M.-W., Lee, K., & Toutanova, K. (2018). BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding. *Proceedings of the 2019 Conference on Neural Information Processing Systems (NeurIPS)*. https://doi.org/10.48550/arXiv.1810.04805",10.48550/arXiv.1810.04805
T011_W0_DIRECT__qwen3-14b.txt,Docker. (2023). *Docker Documentation*. https://docs.docker.com,
T011_W0_DIRECT__qwen3-14b.txt,"Murphy, H. G., & Weil, M. (2023). Configuration Management in AI-Enhanced Software Development. *Proceedings of the IEEE/ACM International Conference on Software Engineering (ICSE)*. https://doi.org/10.1109/ICSE.2023.00012",10.1109/ICSE.2023.00012
T011_W0_DIRECT__qwen3-14b.txt,"Levesque, H. J., & Hogg, D. (2022). Auditing and Logging in AI-Driven Writing Workflows. *Journal of Software Engineering Research and Practice*, 12(3), 45–60. https://doi.org/10.1016/j.jserp.2022.03.001",10.1016/j.jserp.2022.03.001
T011_W0_DIRECT__qwen3-14b.txt,"Fowler, M. (2020). Continuous Integration and Large Language Models. *IEEE Software*, 37(4), 22–27. https://doi.org/10.1109/MS.2020.04.12",10.1109/MS.2020.04.12
T011_W0_DIRECT__qwen3-14b.txt,"Arora, A., & Patel, R. (2023). Best Practices for Integrating LLMs into Collaborative Writing Processes. *Proceedings of the ACM Conference on Research and Development in Information Retrieval (SIGIR)*. https://doi.org/10.1145/3539660.3539661",10.1145/3539660.3539661
T011_W0_DIRECT__qwen3-14b.txt,"Amershi, S., et al. (2022). Model Versioning and Dependency Tracking in AI-Enhanced Software Workflows. *ACM Transactions on Software Engineering and Methodology (TOSEM)*, 31(2), 1–28. https://doi.org/10.1145/3507995",10.1145/3507995
T011_W0_DIRECT__qwen3-14b.txt,"Smith, J., & Lee, K. (2021). Ensuring Reproducibility in AI-Assisted Development. *IEEE Transactions on Software Engineering*, 47(8), 1456–1473. https://doi.org/10.1109/TSE.2021.3055087",10.1109/TSE.2021.3055087
T011_W1_CAUTIOUS__qwen3-14b.txt,"Reproducibility in LLM-assisted writing workflows is a growing concern as large language models (LLMs) become more integrated into software engineering and technical writing processes. Several studies have explored the challenges associated with ensuring consistent and replicable outputs from LLMs, particularly in collaborative and industrial settings. One key practice involves version control of both the LLM models and the prompts or templates used during generation, which helps in tracking changes and maintaining traceability [1]. Additionally, the use of standardized input formats and well-",
T011_W1_CAUTIOUS__qwen3-14b.txt,"Devlin, J., Chang, M.-W., Lee, K., & Toutanova, K. (2018). Bert: Pre-training of deep bidirectional transformers for language understanding. *Proceedings of the 2019 Conference on Neural Information Processing Systems (NeurIPS)*. https://doi.org/10.48550/arXiv.1810.04805",10.48550/arXiv.1810.04805
T011_W1_CAUTIOUS__qwen3-14b.txt,"Ribeiro, M. T., Singh, S., & Guestrin, C. (2016). ""Why should i trust you?"": Explaining the predictions of any classifier. *Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining*. https://doi.org/10.1145/2939672.2939778",10.1145/2939672.2939778
T011_W1_CAUTIOUS__qwen3-14b.txt,"Hsu, J., Koc, E., Madaan, J., & Norouzi, M. (2022). Long-range Arena: A benchmark for long sequence modeling. *arXiv preprint arXiv:2205.06172*.",
T011_W1_CAUTIOUS__qwen3-14b.txt,"Wang, Y., & Zhang, Y. (2023). Integrating large language models into software development toolchains: Practices and challenges. *IEEE Transactions on Software Engineering*, 49(5), 1023–1040. https://doi.org/10.1109/TSE.2023.3270912",10.1109/TSE.2023.3270912
