source,ref_text,doi,verify_source,verify_title,verify_year,doi_resolves,status
T001_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Walters, W. H., & Wilder, E. I. (2023). Fabrication and errors in the bibliographic citations generated by ChatGPT. *Scientific Reports*, 13(1), 14045. https://doi.org/10.1038/s41598-023-41032-5",10.1038/s41598-023-41032-5,crossref,Fabrication and errors in the bibliographic citations generated by ChatGPT,2023,,resolved
T001_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Athaluri, S. A., Manthena, S. V., Kesapragada, V. S. R. K. M., Yarlagadda, V., Dave, T., & Duddumpudi, R. T. S. (2023). Exploring the boundaries of reality: Investigating the phenomenon of artificial ",10.7759/cureus.37432,crossref,Exploring the Boundaries of Reality: Investigating the Phenomenon of Artificial Intelligence Hallucination in Scientific Writing Through ChatGPT References,2023,,resolved
T001_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Day, T. (2023). A preliminary investigation of fake peer-reviewed citations and references generated by ChatGPT. *The Journal of Academic Librarianship*, 49(6), 102804. https://doi.org/10.1016/j.acali",10.1016/j.acalib.2023.102804,crossref,Integrating Information Literacy and Academic Writing: Developing a Self-Assessment Scale of Information-Based Academic Writing,2023,,resolved
T001_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Bang, Y., Cahyawijaya, S., Lee, N., Dai, W., Su, D., Wilie, B., ... & Fung, P. (2023). A multitask, multilingual, multimodal evaluation of ChatGPT on reasoning, hallucination, and interactivity. *arXi",10.48550/arXiv.2302.04023,openalex,"A Multitask, Multilingual, Multimodal Evaluation of ChatGPT on Reasoning, Hallucination, and Interactivity",2023,,resolved
T001_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Bhattacharyya, S., Banerjee, S., & Das, D. (2023). Evaluating large language models for citation generation. In *Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing*",10.18653/v1/2023.emnlp-main.78,crossref,Penalty Decoding: Well Suppress the Self-Reinforcement Effect in Open-Ended Text Generation,2023,,resolved
T001_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Wang, Z., Li, Y., & Chen, Q. (2023). Prompt engineering reduces citation hallucination in large language models. *Journal of Artificial Intelligence Research*, 78, 567–589. https://doi.org/10.1613/jai",10.1613/jair.1.14567,unresolved,,,False,unresolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"Walters, W. H., & Wilder, E. I. (2023). Fabrication and errors in the bibliographic citations generated by ChatGPT. *Scientific Reports*, 13, 14045. https://doi.org/10.1038/s41598-023-41032-5",10.1038/s41598-023-41032-5,crossref,Fabrication and errors in the bibliographic citations generated by ChatGPT,2023,,resolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"Bhattacharyya, S., Bhadra, R., & Chatterjee, S. (2024). A systematic evaluation of large language models for generating biomedical citations. *Journal of the American Medical Informatics Association*,",10.1093/jamia/ocad228,crossref,Applying contrastive pre-training for depression and anxiety risk prediction in type 2 diabetes patients based on heterogeneous electronic health records: a primary healthcare case study,2023,,resolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"Athaluri, S. A., Manthena, S. V., Kesapragada, V. S. R. K., Yarlagadda, V., Dave, T., & Duddumpudi, R. T. S. (2023). Exploring the boundaries of reality: Investigating the phenomenon of artificial int",10.7759/cureus.37432,crossref,Exploring the Boundaries of Reality: Investigating the Phenomenon of Artificial Intelligence Hallucination in Scientific Writing Through ChatGPT References,2023,,resolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"Emsley, R. (2023). ChatGPT: These are not the references you are looking for. *Schizophrenia Research*, 259, 76–77. https://doi.org/10.1016/j.schres.2023.05.009",10.1016/j.schres.2023.05.009,crossref,A national pharmacovigilance study of haematological adverse drug reactions to clozapine vs other second–generation antipsychotics in Italy,2023,,resolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"Gravel, J., D’Amours, M., & Côté, J. (2024). Evaluating the accuracy of ChatGPT in generating references for emergency medicine literature. *Canadian Journal of Emergency Medicine*, 26(1), 45–52. http",10.1007/s43678-023-00609-7,unresolved,,,False,unresolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"De Winter, J. C. F. (2024). Can ChatGPT be trusted to provide reliable references? A case study on the use of retrieval-augmented generation. *Scientometrics*, 129, 1235–1248. https://doi.org/10.1007/",10.1007/s11192-024-04970-1,unresolved,,,False,unresolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"Thakur, A., Kumar, R., & Singh, P. (2024). Prompt engineering reduces citation hallucination in large language models: A controlled experiment. *Journal of Information Science*, 50(3), 712–725. https:",10.1177/01655515231214567,unresolved,,,False,unresolved
T001_W3_VERIFY_REPAIR__deepseek-chat.txt,"Salvagno, M., Taccone, F. S., & Gerli, A. G. (2023). Can artificial intelligence help for scientific writing? *Critical Care*, 27, 75. https://doi.org/10.1186/s13054-023-04380-2",10.1186/s13054-023-04380-2,crossref,Can artificial intelligence help for scientific writing?,2023,,resolved
T002_W0_DIRECT__deepseek-chat.txt,"Chen, J., & Li, X. (2024). Citation errors in large language model-generated academic summaries: A taxonomy and analysis. *Journal of Artificial Intelligence Research*, 79, 123-145. DOI: 10.1613/jair.",10.1613/jair.2024.12345,unresolved,,,False,unresolved
T002_W0_DIRECT__deepseek-chat.txt,"Wang, Y., Zhang, L., & Liu, H. (2023). Multi-author citation hallucination in GPT-generated literature reviews. *Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing*",10.18653/v1/2023.emnlp-main.567,crossref,APrompt: Attention Prompt Tuning for Efficient Adaptation of Pre-trained Language Models,2023,,resolved
T002_W0_DIRECT__deepseek-chat.txt,"Smith, A., & Johnson, B. (2024). Probabilistic text completion and its impact on reference accuracy. *Nature Machine Intelligence*, 6(2), 89-97. DOI: 10.1038/s42256-024-00890-2",10.1038/s42256-024-00890-2,unresolved,,,False,unresolved
T002_W0_DIRECT__deepseek-chat.txt,"Zhao, R., & Kim, S. (2023). Training data inconsistency as a source of citation structure errors in LLMs. *Transactions of the Association for Computational Linguistics*, 11, 234-249. DOI: 10.1162/tac",10.1162/tacl_a_00678,crossref,Can Authorship Attribution Models Distinguish Speakers in Speech Transcripts?,2024,,resolved
T002_W0_DIRECT__deepseek-chat.txt,"Brown, T., & Lee, K. (2024). Retrieval-augmented generation for reducing hallucinated citations: An empirical study. *Proceedings of the 62nd Annual Meeting of the Association for Computational Lingui",10.18653/v1/2024.acl-long.1120,unresolved,,,False,unresolved
T002_W0_DIRECT__deepseek-chat.txt,"Patel, M., & Gupta, N. (2023). Citation graph topology for detecting logical inconsistencies in LLM-generated references. *Journal of Informetrics*, 17(4), 101456. DOI: 10.1016/j.joi.2023.101456",10.1016/j.joi.2023.101456,crossref,"The k-step h-index in citation networks at the paper, author, and institution levels",2023,,resolved
T002_W0_DIRECT__deepseek-chat.txt,"陈思远， & 李华. (2024). 面向中文场景的大语言模型引用错误类型分析. *中文信息学报*, 38(5), 78-89. DOI: 10.3969/j.issn.1003-0077.2024.05.009",10.3969/j.issn.1003-0077.2024.05.009,doi_resolves_only,,,True,unresolved
T002_W1_CAUTIOUS__deepseek-chat.txt,"Walters, W. H. (2023). The fake news about fake news: Chatbots, large language models, and the problem of hallucinated citations. *Journal of the Association for Information Science and Technology*, 7",10.1002/asi.24876,crossref,Understanding super‐partnerships in scientific collaboration: Evidence from the field of economics,2024,,resolved
T002_W1_CAUTIOUS__deepseek-chat.txt,"陈子阳, 陈云霁. (2024). 大语言模型生成学术引用中的错误分类与实证分析. *计算机学报*, 47(3), 567–582. DOI: 10.11897/SP.J.1016.2024.00567",10.11897/SP.J.1016.2024.00567,unresolved,,,False,unresolved
T002_W1_CAUTIOUS__deepseek-chat.txt,"Zheng, L., & Wang, H. (2024). Attribution errors in LLM-generated literature reviews: A case study on biomedical NLP. *Proceedings of the 2024 Conference on Empirical Methods in Natural Language Proce",10.18653/v1/2024.emnlp-main.78,crossref,Model Balancing Helps Low-data Training and Fine-tuning,2024,,resolved
T002_W1_CAUTIOUS__deepseek-chat.txt,"Alshahrani, S., & Alshahrani, A. (2024). Evaluating citation accuracy in large language model outputs: A comparative study of GPT-4 and Llama 2. *Scientometrics*, 129(4), 2153–2172. DOI: 10.1007/s1119",10.1007/s11192-024-04989-8,unresolved,,,False,unresolved
T002_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Huang, Y., Feng, S., Li, J., & Zhao, H. (2023). Hallucinated Citations in Large Language Models: Detection and Analysis. *Proceedings of the 2023 Conference on Empirical Methods in Natural Language Pr",10.18653/v1/2023.emnlp-main.349,crossref,Analysing State-Backed Propaganda Websites: a New Dataset and Linguistic Study,2023,,resolved
T002_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Li, X., Zhang, Y., & Wang, L. (2024). A Taxonomy of Citation Errors in LLM-Generated Academic Texts. *Journal of Artificial Intelligence Research*, 79, 215–240. DOI: 10.1613/jair.1.15432",10.1613/jair.1.15432,unresolved,,,False,unresolved
T002_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Chen, R., & Liu, M. (2023). Citation Redundancy and Omission in LLM-Based Survey Generation. *Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics*, 1234–1247. DOI: ",10.18653/v1/2023.acl-long.78,crossref,Diverse Demonstrations Improve In-context Compositional Generalization,2023,,resolved
T002_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Kim, S., Park, J., & Cho, H. (2024). Author Confusion and Multi-Paper Misattribution in LLM Summaries. *ACM Transactions on Information Systems*, 42(2), 1–25. DOI: 10.1145/3630000.3630123",10.1145/3630000.3630123,unresolved,,,False,unresolved
T002_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Wang, Z., & Zhou, T. (2023). Evaluating Citation Quality in LLM-Generated Reviews: A Three-Dimensional Framework. *Proceedings of the 2023 Conference on Neural Information Processing Systems (NeurIPS)",10.48550/arXiv.2310.08912,openalex,Sampling from Mean-Field Gibbs Measures via Diffusion Processes,2023,,resolved
T002_W3_VERIFY_REPAIR__deepseek-chat.txt,"Walters, W. H., & Wilder, E. I. (2023). Fabrication and errors in the bibliographic citations generated by ChatGPT. *Scientific Reports*, 13(1), 14045. https://doi.org/10.1038/s41598-023-41032-5",10.1038/s41598-023-41032-5,crossref,Fabrication and errors in the bibliographic citations generated by ChatGPT,2023,,resolved
T002_W3_VERIFY_REPAIR__deepseek-chat.txt,"Bhattacharyya, S., Ghosh, S., & Dey, L. (2024). A taxonomy of citation errors in large language model-generated academic reviews. *Journal of Informetrics*, 18(2), 101534. https://doi.org/10.1016/j.jo",10.1016/j.joi.2024.101534,unresolved,,,False,unresolved
T002_W3_VERIFY_REPAIR__deepseek-chat.txt,"Kumar, A., Zhang, Y., & Liu, H. (2024). Mitigating citation hallucination in large language models via retrieval-augmented generation. *Proceedings of the 2024 Conference on Empirical Methods in Natur",10.18653/v1/2024.emnlp-main.89,crossref,UniFashion: A Unified Vision-Language Model for Multimodal Fashion Retrieval and Generation,2024,,resolved
T002_W3_VERIFY_REPAIR__deepseek-chat.txt,"Zhang, Z., Wang, X., & Li, J. (2024). Context-aware citation verification for AI-generated academic text. *Journal of Artificial Intelligence Research*, 80, 215–238. https://doi.org/10.1613/jair.1.150",10.1613/jair.1.15002,unresolved,,,False,unresolved
T002_W3_VERIFY_REPAIR__deepseek-chat.txt,"Menick, J., Trebacz, M., Mikulik, V., Aslanides, J., & Hesse, C. (2022). Factual accuracy in neural text generation: A case study on citation generation. *Advances in Neural Information Processing Sys",10.48550/arXiv.2205.14251,openalex,Is it Worth to Reason about Uncertainty in Occupancy Grid Maps during Path Planning?,2022,,resolved
T003_W0_DIRECT__deepseek-chat.txt,"Lin, X., & Chen, Z. (2023). Hallucinated citations in large language models: A systematic analysis. *Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics*, 1123–1135",10.18653/v1/2023.acl-long.63,crossref,Pretrained Bidirectional Distillation for Machine Translation,2023,,resolved
T003_W0_DIRECT__deepseek-chat.txt,"Maynez, J., Narayan, S., Bohnet, B., & Cohen, S. (2020). On faithfulness and factuality in abstractive summarization. *Proceedings of the 58th Annual Meeting of the Association for Computational Lingu",10.18653/v1/2020.acl-main.173,crossref,On Faithfulness and Factuality in Abstractive Summarization,2020,,resolved
T003_W0_DIRECT__deepseek-chat.txt,"Athaluri, S. A., Manthena, S. V., Kesapragada, V. S. R., & Yarlagadda, V. (2023). Exploring the boundaries of reality: Investigating the phenomenon of artificial intelligence hallucination in scientif",10.7759/cureus.37432,crossref,Exploring the Boundaries of Reality: Investigating the Phenomenon of Artificial Intelligence Hallucination in Scientific Writing Through ChatGPT References,2023,,resolved
T003_W0_DIRECT__deepseek-chat.txt,"Shuster, K., Poff, S., Chen, M., Kiela, D., & Weston, J. (2021). Retrieval augmentation reduces hallucination in conversation. *Findings of the Association for Computational Linguistics: EMNLP 2021*, ",10.18653/v1/2021.findings-emnlp.320,crossref,Retrieval Augmentation Reduces Hallucination in Conversation,2021,,resolved
T003_W0_DIRECT__deepseek-chat.txt,"Chen, J., Zhang, Y., & Liu, Q. (2024). Mitigating citation hallucinations in biomedical literature summarization with retrieval-augmented generation. *Journal of Biomedical Informatics*, 149, 104567. ",10.1016/j.jbi.2023.104567,crossref,Providing clinical context to the spatio-temporal analysis of 4D CT perfusion to predict acute ischemic stroke lesion outcomes,2024,,resolved
T003_W0_DIRECT__deepseek-chat.txt,"Menick, J., Trebacz, M., Mikulik, V., Aslanides, J., & Hutter, F. (2022). Teaching language models to support answers with verified quotes. *arXiv preprint arXiv:2203.11171*. https://doi.org/10.48550/",10.48550/arXiv.2203.11171,openalex,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2022,,resolved
T003_W0_DIRECT__deepseek-chat.txt,"Huang, L., Yu, W., Ma, W., Zhong, W., Feng, Z., Wang, H., ... & Sun, M. (2024). A survey on hallucination in large language models: Principles, taxonomy, challenges, and open questions. *ACM Computing",10.1145/3664630,crossref,Designing for Data Sensemaking Practices: A Complex Challenge,2024,,resolved
T003_W1_CAUTIOUS__deepseek-chat.txt,"Lewis, P., Perez, E., Piktus, A., Petroni, F., Karpukhin, V., Goyal, N., ... & Kiela, D. (2020). Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks. *Advances in Neural Information Proce",10.48550/arXiv.2005.11401,doi_resolves_only,,,True,unresolved
T003_W1_CAUTIOUS__deepseek-chat.txt,"Shuster, K., Xu, J., Komeili, M., Ju, D., Smith, E. M., Roller, S., ... & Weston, J. (2021). Retrieval Augmentation Reduces Hallucination in Conversation. *Findings of the Association for Computationa",10.18653/v1/2021.findings-emnlp.320,crossref,Retrieval Augmentation Reduces Hallucination in Conversation,2021,,resolved
T003_W1_CAUTIOUS__deepseek-chat.txt,"Petroni, F., Lewis, P., Piktus, A., Rocktäschel, T., Wu, Y., Miller, A. H., & Riedel, S. (2020). How Context Affects Language Models' Factual Predictions. *Automated Knowledge Base Construction (AKBC)",10.48550/arXiv.2005.04611,openalex,How Context Affects Language Models' Factual Predictions,2020,,resolved
T003_W1_CAUTIOUS__deepseek-chat.txt,"Huang, Y., Feng, Y., & Zhao, D. (2023). Evaluating and Improving Citation Accuracy in Scientific Text Generation with Retrieval-Augmented Models. *Proceedings of the 61st Annual Meeting of the Associa",10.18653/v1/2023.acl-long.604,crossref,CHEER: Centrality-aware High-order Event Reasoning Network for Document-level Event Causality Identification,2023,,resolved
T003_W1_CAUTIOUS__deepseek-chat.txt,"Gao, Y., Xiong, Y., Gao, X., Jia, K., Pan, J., Bi, Y., ... & Wang, H. (2024). Corrective Retrieval Augmented Generation. *arXiv preprint*. https://doi.org/10.48550/arXiv.2401.15884",10.48550/arXiv.2401.15884,openalex,Corrective Retrieval Augmented Generation,2024,,resolved
T003_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Shuster, K., et al. (2021). Retrieval Augmentation Reduces Hallucination in Question Answering. *arXiv preprint arXiv:2104.07567*. DOI: 10.48550/arXiv.2104.07567",10.48550/arXiv.2104.07567,openalex,Retrieval Augmentation Reduces Hallucination in Conversation,2021,,resolved
T003_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Lewis, P., et al. (2020). Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks. *Advances in Neural Information Processing Systems (NeurIPS)*. DOI: 10.48550/arXiv.2005.11401",10.48550/arXiv.2005.11401,doi_resolves_only,,,True,unresolved
T003_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Borgeaud, S., et al. (2022). Improving Language Models by Retrieving from Trillions of Tokens. *Proceedings of the 39th International Conference on Machine Learning (ICML)*. DOI: 10.48550/arXiv.2112.0",10.48550/arXiv.2112.04426,openalex,Improving language models by retrieving from trillions of tokens,2021,,resolved
T003_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Dziri, N., et al. (2022). Evaluating the Factual Consistency of Abstractive Text Summarization. *Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing (EMNLP)*. DOI: 1",10.18653/v1/2022.emnlp-main.123,crossref,There Is No Standard Answer: Knowledge-Grounded Dialogue Generation with Adversarial Activated Multi-Reference Learning,2022,,resolved
T003_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Guu, K., et al. (2020). REALM: Retrieval-Augmented Language Model Pre-Training. *Proceedings of the 37th International Conference on Machine Learning (ICML)*. DOI: 10.48550/arXiv.2002.08909",10.48550/arXiv.2002.08909,openalex,REALM: Retrieval-Augmented Language Model Pre-Training,2020,,resolved
T003_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Menick, J., et al. (2022). Teaching Language Models to Support Answers with Verified Quotes. *arXiv preprint arXiv:2203.11147*. DOI: 10.48550/arXiv.2203.11147",10.48550/arXiv.2203.11147,openalex,Teaching language models to support answers with verified quotes,2022,,resolved
T003_W3_VERIFY_REPAIR__deepseek-chat.txt,"Ji, Z., Lee, N., Frieske, R., Yu, T., Su, D., Xu, Y., ... & Fung, P. (2023). Survey of Hallucination in Natural Language Generation. *ACM Computing Surveys*, 55(12), 1–38. DOI: 10.1145/3571730",10.1145/3571730,crossref,Survey of Hallucination in Natural Language Generation,2023,,resolved
T003_W3_VERIFY_REPAIR__deepseek-chat.txt,"Shuster, K., Xu, J., Komeili, M., Ju, D., Smith, E. M., Roller, S., ... & Weston, J. (2021). Retrieval Augmentation Reduces Hallucination in Conversation. *Findings of the Association for Computationa",10.18653/v1/2021.findings-emnlp.320,crossref,Retrieval Augmentation Reduces Hallucination in Conversation,2021,,resolved
T003_W3_VERIFY_REPAIR__deepseek-chat.txt,"Min, S., Krishna, K., Lyu, X., Lewis, M., Yih, W. T., Koh, P. W., ... & Hajishirzi, H. (2023). FactScore: Fine-grained Atomic Evaluation of Factual Precision in Long-Form Text Generation. *Proceedings",10.18653/v1/2023.emnlp-main.741,crossref,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,2023,,resolved
T003_W3_VERIFY_REPAIR__deepseek-chat.txt,"Gao, L., Dai, Z., Pasupat, P., Chen, A., Chaganty, A. T., Fan, Y., ... & Guu, K. (2023). RARR: Researching and Revising What Language Models Say, Using Language Models. *Proceedings of the 61st Annual",10.18653/v1/2023.acl-long.911,unresolved,,,False,unresolved
T004_W0_DIRECT__deepseek-chat.txt,"Lewis, P., Perez, E., Piktus, A., Petroni, F., Karpukhin, V., Goyal, N., ... & Kiela, D. (2020). Retrieval-augmented generation for knowledge-intensive NLP tasks. *Advances in Neural Information Proce",10.48550/arXiv.2005.11401,doi_resolves_only,,,True,unresolved
T004_W0_DIRECT__deepseek-chat.txt,"Borgeaud, S., Mensch, A., Hoffmann, J., Cai, T., Rutherford, E., Millican, K., ... & Sifre, L. (2022). Improving language models by retrieving from trillions of tokens. *Proceedings of the 39th Intern",10.48550/arXiv.2112.04426,openalex,Improving language models by retrieving from trillions of tokens,2021,,resolved
T004_W0_DIRECT__deepseek-chat.txt,"Shuster, K., Xu, J., Komeili, M., Ju, D., Adolphs, L., Das, S., ... & Weston, J. (2021). Retrieval augmentation reduces hallucination in conversation. *Findings of the Association for Computational Li",10.18653/v1/2021.findings-emnlp.320,crossref,Retrieval Augmentation Reduces Hallucination in Conversation,2021,,resolved
T004_W0_DIRECT__deepseek-chat.txt,"Mallen, A., Asai, A., Zhong, V., Das, R., Khashabi, D., & Hajishirzi, H. (2023). When not to trust language models: Investigating effectiveness of parametric and non-parametric memories. *Proceedings ",10.48550/arXiv.2212.10511,openalex,When Not to Trust Language Models: Investigating Effectiveness of Parametric and Non-Parametric Memories,2022,,resolved
T004_W0_DIRECT__deepseek-chat.txt,"Khattab, O., & Zaharia, M. (2020). ColBERT: Efficient and effective passage search via contextualized late interaction over BERT. *Proceedings of the 43rd International ACM SIGIR Conference*, 39–48. h",10.1145/3397271.3401075,crossref,ColBERT,2020,,resolved
T004_W0_DIRECT__deepseek-chat.txt,"Li, D., Rawat, A. S., Zaheer, M., Reddi, S. J., & Kumar, S. (2023). Retrieval-augmented generation with citation verification for reducing hallucinations in academic writing. *arXiv preprint arXiv:231",10.48550/arXiv.2310.12345,openalex,ClusT3: Information Invariant Test-Time Training,2023,,resolved
T004_W1_CAUTIOUS__deepseek-chat.txt,DOI: 10.48550/arXiv.2005.11401,10.48550/arXiv.2005.11401,doi_resolves_only,,,True,unresolved
T004_W1_CAUTIOUS__deepseek-chat.txt,DOI: 10.18653/v1/2021.findings-emnlp.320,10.18653/v1/2021.findings-emnlp.320,crossref,Retrieval Augmentation Reduces Hallucination in Conversation,2021,,resolved
T004_W1_CAUTIOUS__deepseek-chat.txt,DOI: 10.48550/arXiv.2203.11171,10.48550/arXiv.2203.11171,openalex,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2022,,resolved
T004_W1_CAUTIOUS__deepseek-chat.txt,DOI: 10.18653/v1/2023.acl-long.910,10.18653/v1/2023.acl-long.910,crossref,"RARR: Researching and Revising What Language Models Say, Using Language Models",2023,,resolved
T004_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Li, X., Zhang, Y., & Chen, H. (2024). Reducing hallucinations in academic writing: A retrieval-augmented generation framework for reference generation. *Proceedings of the 2024 Conference on Empirical",10.18653/v1/2024.emnlp-main.89,crossref,UniFashion: A Unified Vision-Language Model for Multimodal Fashion Retrieval and Generation,2024,,resolved
T004_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Wang, S., Liu, J., & Zhao, Q. (2023). Evaluating retrieval-augmented generation for citation accuracy in scientific writing. *Journal of Artificial Intelligence Research*, 78, 567-590. DOI: 10.1613/ja",10.1613/jair.1.14567,unresolved,,,False,unresolved
T004_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Kim, D., & Park, S. (2024). The pitfalls of semi-fabricated citations: How retrieval quality affects RAG-based academic writing. *Proceedings of the 2024 Annual Meeting of the Association for Computat",10.18653/v1/2024.acl-long.34,crossref,Wav2Gloss: Generating Interlinear Glossed Text from Speech,2024,,resolved
T004_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Chen, Y., & Huang, R. (2023). User trust and verification behavior in retrieval-augmented citation generation. *ACM Transactions on Information Systems*, 41(4), 1-28. DOI: 10.1145/3609123.",10.1145/3609123,crossref,Stochastic Analysis of Control Systems Subject to Communication and Computation Faults,2023,,resolved
T004_W2_RETRIEVAL_FIRST__deepseek-chat.txt,"Liu, Z., Wang, T., & Zhang, L. (2024). Integrating retrieval-augmented generation with post-hoc citation validation for reliable scholarly writing. *IEEE Transactions on Knowledge and Data Engineering",10.1109/TKDE.2024.3357890,unresolved,,,False,unresolved
